Site,DC,Pod,normal,zone
MCD_00778,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00793,DAL,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00801,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00804,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00806,DAL,9,False,(GMT-08:00) Pacific Time (US & Canada)
MCD_00807,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00823,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00839,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00854,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00855,SNA,9,True,(GMT-08:00) Pacific Time (US & Canada)
MCD_00857,DAL,9,True,(GMT-08:00) Pacific Time (US & Canada)
